Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60,Word 61,Word 62,Word 63,Word 64,Word 65,Word 66,Word 67,Word 68,Word 69,Word 70,Word 71,Word 72,Word 73,Word 74,Word 75,Word 76,Word 77,Word 78,Word 79,Word 80,Word 81,Word 82,Word 83,Word 84,Word 85,Word 86,Word 87,Word 88,Word 89,Word 90,Word 91,Word 92,Word 93,Word 94,Word 95,Word 96,Word 97,Word 98,Word 99,Word 100,Word 101,Word 102,Word 103,Word 104,Word 105,Word 106,Word 107,Word 108,Word 109,Word 110,Word 111,Word 112,Word 113,Word 114,Word 115,Word 116,Word 117,Word 118,Word 119,Word 120,Word 121,Word 122,Word 123,Word 124,Word 125,Word 126,Word 127,Word 128,Word 129,Word 130,Word 131,Word 132,Word 133,Word 134,Word 135,Word 136,Word 137,Word 138,Word 139
patient,dxmm,came,months,scmm,annual,breast,mmg,lump,left,right,tissue,fu,felt,changes,ago,dr,schedule,normal,mass,just,doctor,benign,fine,biopsy,pain,called,need,dexa,years,cyst,theres,serena,day,said,recommended,cbe,order,year,new,come,family,carole,carol,weiss,return,bx,needs,ultrasound,china,old,mo,seen,today,recommend,getting,month,advised,calcification,screening,yrs,follow,2016,10,shuping,pcp,insurance,sure,test,near,scheduled,pt,appt,told,high,decided,check,pap,doesnt,needed,regular,lumps,surgery,care,accompanied,time,make,hagen,help,did,2017,blood,mercy,lot,30,fibroadenoma,didnt,cindy,took,interpreted,results,17,ecc,perez,lumpectomy,colpo,concern,medicaid,hpv,result,weeks,sun,smear,ibccp,gyne,shown,asked,15,change,week,abnormal,support,questions,referral,16,freeman,2015,pretty,health,ekg,procedure,24,mri,okay,cin,11,plan,stereo,worried,12
pap,hpv,pt,follow,smear,abnormal,year,china,yrs,need,normal,annual,ago,months,colpo,recommended,dr,today,return,cin,2015,doesnt,ultrasound,carol,results,make,theres,lumps,check,come,2016,patient,procedure,years,doctor,serena,pretty,mri,decided,just,time,change,10,mercy,didnt,advised,changes,needed,care,referral,did,test,came,breast,result,mo,bx,pain,cbe,getting,12,lump,recommend,help,schedule,weeks,month,worried,pcp,called,insurance,lot,biopsy,ecc,told,cyst,took,24,said,old,screening,sun,dxmm,sure,freeman,ibccp,scmm,benign,gyne,interpreted,fibroadenoma,shuping,felt,appt,weiss,accompanied,cindy,health,left,fine,high,right,surgery,calcification,hagen,lumpectomy,30,15,perez,regular,stereo,17,mmg,scheduled,needs,medicaid,family,near,seen,16,tissue,ekg,shown,11,dexa,support,plan,day,concern,questions,mass,okay,week,blood,2017,new,fu,order,carole,asked
gyne,sun,called,concern,insurance,pap,family,new,schedule,carol,order,medicaid,test,hpv,needs,plan,asked,dr,did,pain,carole,said,support,2015,results,felt,came,yrs,11,abnormal,worried,lot,need,month,normal,smear,annual,breast,patient,scmm,recommend,dxmm,appt,15,help,result,doesnt,scheduled,come,cindy,pt,lump,screening,care,procedure,didnt,theres,mercy,dexa,ultrasound,cbe,24,doctor,make,bx,lumpectomy,seen,referral,shuping,questions,years,check,ibccp,pcp,return,ekg,blood,follow,serena,stereo,took,mass,recommended,12,17,just,fine,health,biopsy,pretty,week,sure,2016,benign,decided,freeman,months,16,weeks,changes,getting,right,cyst,fu,mo,hagen,colpo,today,accompanied,2017,day,china,okay,lumps,perez,told,30,ago,calcification,left,tissue,10,fibroadenoma,ecc,near,old,surgery,change,weiss,regular,time,shown,needed,year,mmg,interpreted,cin,advised,high,mri
time,carol,recommend,procedure,needed,china,serena,normal,just,months,need,come,make,help,ago,dr,hpv,pt,mri,abnormal,called,didnt,recommended,doctor,bx,lumps,mmg,year,result,breast,colpo,right,patient,left,mo,15,sure,changes,fine,lot,follow,week,weeks,2016,mercy,theres,lump,fibroadenoma,medicaid,smear,cin,pain,biopsy,change,scmm,dxmm,regular,yrs,ultrasound,care,pap,felt,fu,screening,insurance,ibccp,doesnt,10,came,ecc,did,results,today,gyne,shuping,interpreted,pretty,decided,advised,seen,near,calcification,took,said,annual,tissue,schedule,told,shown,dexa,order,questions,years,check,plan,appt,pcp,cbe,24,perez,family,getting,cyst,accompanied,asked,2017,30,concern,okay,health,day,freeman,carole,stereo,support,ekg,hagen,referral,weiss,month,worried,old,11,12,surgery,lumpectomy,17,scheduled,new,high,test,2015,16,sun,benign,cindy,blood,needs,return,mass
hagen,mri,ekg,come,needs,10,seen,12,perez,calcification,follow,cindy,years,surgery,called,2016,15,need,fine,schedule,right,pretty,24,left,interpreted,pain,benign,scheduled,shuping,pt,ago,months,dxmm,lumpectomy,dr,biopsy,sure,result,lump,bx,questions,lot,11,worried,patient,pap,stereo,return,recommend,yrs,cin,pcp,mass,scmm,advised,support,gyne,high,abnormal,annual,tissue,accompanied,appt,normal,plan,medicaid,2017,needed,week,okay,shown,cyst,doctor,china,came,cbe,took,regular,serena,ultrasound,check,order,insurance,said,near,year,health,lumps,changes,family,care,help,old,17,decided,didnt,asked,fibroadenoma,time,day,blood,new,hpv,dexa,screening,did,doesnt,weeks,2015,carol,change,fu,weiss,concern,test,ibccp,theres,colpo,felt,mo,referral,procedure,today,mmg,ecc,16,make,told,30,freeman,recommended,just,smear,sun,carole,results,breast,mercy,getting,month
help,doctor,asked,surgery,screening,regular,dxmm,family,support,questions,check,getting,months,referral,doesnt,pcp,advised,lump,ago,health,felt,make,patient,needs,appt,said,result,weiss,pt,mercy,carol,2015,mmg,come,breast,dr,need,lumpectomy,annual,recommended,cyst,month,told,12,care,17,sun,came,today,scmm,carole,china,needed,calcification,old,theres,ibccp,scheduled,left,took,bx,yrs,ultrasound,biopsy,tissue,fine,right,week,change,perez,lumps,fibroadenoma,hpv,colpo,day,ecc,gyne,time,sure,fu,24,freeman,cin,return,concern,ekg,normal,did,lot,pap,hagen,pain,years,near,seen,decided,cindy,medicaid,2017,recommend,16,insurance,results,changes,cbe,called,abnormal,okay,interpreted,30,shuping,mri,mass,year,mo,worried,follow,benign,15,procedure,smear,shown,didnt,2016,schedule,accompanied,11,high,plan,new,10,stereo,dexa,just,test,weeks,serena,pretty,blood,order
screening,patient,annual,worried,told,bx,came,questions,dr,china,recommended,2017,ibccp,scheduled,carole,mmg,cin,changes,11,shuping,2016,pcp,needs,today,30,normal,high,fu,new,stereo,years,need,called,pain,12,dxmm,right,dexa,help,cyst,scmm,lot,weiss,lump,support,come,hpv,schedule,medicaid,appt,left,yrs,felt,ago,doesnt,months,didnt,pt,took,sure,result,insurance,just,mri,lumpectomy,interpreted,benign,did,pap,follow,sun,breast,said,15,ekg,near,recommend,test,year,blood,surgery,asked,regular,ultrasound,carol,needed,results,2015,month,seen,perez,procedure,calcification,plan,care,change,17,order,lumps,concern,day,hagen,accompanied,old,time,family,tissue,return,10,mass,shown,make,week,colpo,16,smear,serena,okay,ecc,getting,referral,24,cindy,fine,cbe,weeks,mercy,doctor,advised,theres,pretty,fibroadenoma,health,gyne,mo,freeman,abnormal,check,decided,biopsy
care,near,health,doesnt,patient,cbe,family,support,questions,pretty,carol,doctor,called,pcp,high,ago,mri,lumpectomy,dr,just,years,china,mercy,said,needs,surgery,mmg,decided,pap,order,follow,took,changes,normal,scheduled,screening,plan,cyst,medicaid,recommend,told,blood,benign,weiss,scmm,pt,dxmm,help,abnormal,need,tissue,ibccp,year,months,appt,right,change,lump,time,come,hpv,bx,ekg,left,serena,sure,calcification,felt,check,advised,11,recommended,worried,shuping,ultrasound,gyne,colpo,lot,schedule,cindy,2015,accompanied,16,referral,new,interpreted,cin,return,month,week,12,smear,hagen,mo,24,mass,biopsy,asked,fine,2017,did,2016,came,dexa,fibroadenoma,17,breast,concern,sun,annual,seen,getting,procedure,freeman,test,insurance,okay,today,old,ecc,15,pain,weeks,10,didnt,needed,30,shown,day,stereo,make,carole,results,result,regular,yrs,theres,perez,fu,lumps
insurance,ibccp,mercy,told,pt,help,pap,medicaid,2016,needs,scmm,years,10,new,2017,health,cbe,getting,check,months,patient,doesnt,pcp,doctor,ago,sure,referral,high,appt,12,need,make,changes,weiss,decided,hpv,mo,month,return,breast,dr,advised,theres,care,mmg,asked,30,left,scheduled,took,pain,time,carole,questions,17,16,cindy,calcification,come,accompanied,blood,came,year,annual,perez,screening,just,recommended,fine,order,said,day,yrs,schedule,called,freeman,biopsy,lumpectomy,dxmm,surgery,lumps,plan,11,lump,recommend,dexa,today,change,family,week,normal,fu,seen,worried,ecc,test,ultrasound,smear,felt,near,24,hagen,cin,lot,old,15,cyst,colpo,shown,ekg,bx,concern,support,mri,right,regular,tissue,carol,pretty,serena,interpreted,stereo,weeks,china,benign,didnt,result,follow,did,okay,fibroadenoma,sun,mass,results,needed,gyne,abnormal,procedure,2015,shuping
scheduled,15,scmm,appt,mmg,surgery,plan,order,pt,care,mercy,advised,change,procedure,12,11,week,30,carole,dxmm,ibccp,16,cbe,theres,sun,new,benign,referral,near,doctor,10,years,bx,check,right,month,worried,lot,gyne,pap,24,seen,cyst,dr,breast,questions,high,old,lump,result,ago,2017,pain,need,stereo,hagen,patient,changes,screening,blood,year,needs,lumpectomy,ekg,biopsy,asked,calcification,needed,annual,decided,time,mri,today,come,took,told,left,carol,hpv,recommend,make,2015,recommended,china,abnormal,normal,interpreted,perez,test,felt,called,freeman,weiss,ecc,mass,weeks,pcp,17,didnt,fibroadenoma,concern,fine,serena,okay,shuping,shown,2016,came,did,results,smear,accompanied,health,support,doesnt,dexa,lumps,colpo,family,getting,fu,tissue,insurance,said,cindy,just,follow,ultrasound,return,help,yrs,months,mo,cin,regular,pretty,schedule,sure,day,medicaid
